                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     88,               0.039119,               0.032857,               0.025048,               0.032934,                0.33373,                0.35291,                0.27255,                0.15493,                 0.3362,                0.34974,                 0.2735,                0.15936,               0.052884,               0.028182,               0.015268,                0.05048,               0.007129,               0.007129,               0.007129
                     89,               0.039377,               0.031904,               0.024695,               0.031451,                 0.3769,                0.34985,                 0.2943,                0.16709,                0.38829,                0.34892,                0.29533,                0.17039,               0.054031,               0.028451,               0.014716,               0.050953,               0.007096,               0.007096,               0.007096
                     90,               0.037961,               0.031515,               0.023925,               0.031971,                  0.332,                0.36745,                 0.2982,                0.16807,                0.33618,                0.35445,                 0.2926,                0.17113,                0.05339,               0.027838,               0.014796,               0.049168,               0.007063,               0.007063,               0.007063
                     91,               0.038249,               0.032039,               0.024772,               0.031443,                 0.3681,                0.34616,                0.29492,                0.16976,                0.37141,                0.34505,                 0.2919,                 0.1724,               0.053845,               0.027788,               0.014717,               0.050844,                0.00703,                0.00703,                0.00703
                     92,               0.038994,               0.032023,               0.024837,               0.030714,                0.34916,                0.36878,                0.29547,                0.16975,                0.35167,                0.36332,                0.29129,                0.17135,               0.053394,               0.028569,               0.014829,               0.049355,               0.006997,               0.006997,               0.006997
                     93,               0.038591,               0.031275,               0.024087,               0.031234,                 0.3654,                0.36725,                0.30674,                0.17761,                0.36656,                0.35685,                0.30407,                0.17929,               0.053591,               0.027747,               0.014589,               0.049174,               0.006964,               0.006964,               0.006964
                     94,               0.037879,               0.031889,                0.02429,               0.030552,                0.34469,                0.35904,                0.29685,                0.17398,                 0.3435,                0.35975,                0.29766,                0.17695,               0.053409,               0.027781,               0.014837,               0.051006,               0.006931,               0.006931,               0.006931
                     95,               0.037759,               0.030888,               0.024254,               0.030833,                0.35487,                0.37546,                0.31123,                0.18027,                0.35147,                 0.3702,                 0.3074,                0.18116,               0.054144,               0.028028,               0.014741,               0.050646,               0.006898,               0.006898,               0.006898
                     96,               0.038207,               0.030864,               0.024109,               0.030137,                0.38617,                0.36322,                0.31659,                 0.1859,                0.38417,                0.35474,                0.30975,                0.18236,               0.053385,               0.028032,                0.01462,               0.048342,               0.006865,               0.006865,               0.006865
                     97,               0.036778,               0.030523,               0.023668,               0.029915,                0.35025,                0.36978,                0.30866,                  0.184,                0.34706,                0.36762,                0.30511,                0.18251,               0.053216,               0.027882,               0.014695,               0.049532,               0.006832,               0.006832,               0.006832
                     98,               0.037012,               0.030581,               0.023729,               0.029205,                0.40732,                0.37168,                0.32572,                0.18972,                 0.4037,                0.36186,                0.31803,                 0.1881,               0.054345,               0.028257,               0.014622,                0.04799,               0.006799,               0.006799,               0.006799
                     99,               0.037327,               0.030929,               0.023503,               0.029833,                0.34971,                0.34825,                 0.2862,                0.16658,                0.35143,                0.34234,                0.28702,                 0.1712,               0.054315,               0.027821,               0.014802,               0.049485,               0.006766,               0.006766,               0.006766
                    100,               0.037468,               0.029893,               0.023023,                0.02928,                 0.3697,                0.37837,                0.30344,                0.17638,                0.37094,                0.37782,                 0.3033,                0.17977,               0.053808,               0.027525,               0.014903,               0.049686,               0.006733,               0.006733,               0.006733
                    101,               0.037002,               0.030323,               0.023355,               0.028952,                0.35867,                 0.3686,                0.29551,                0.17374,                0.35701,                0.35863,                0.29262,                0.17442,               0.053206,               0.027973,               0.014806,               0.049223,                 0.0067,                 0.0067,                 0.0067
                    102,               0.036623,                0.03056,               0.023601,               0.028053,                 0.3574,                0.36505,                0.29078,                0.17151,                0.35544,                0.36446,                0.29411,                 0.1731,               0.052699,               0.028008,               0.014902,               0.048533,               0.006667,               0.006667,               0.006667
                    103,                0.03603,               0.029402,               0.022894,               0.028455,                0.38551,                0.39508,                0.32044,                0.19258,                0.38988,                0.38646,                0.31808,                0.18771,               0.053785,               0.028269,               0.014514,               0.048664,               0.006634,               0.006634,               0.006634
                    104,               0.036414,               0.030022,               0.023695,               0.027557,                0.34988,                0.39366,                 0.3047,                0.18528,                0.36001,                0.39169,                0.30791,                0.18469,               0.053344,                0.02796,               0.014751,               0.050214,               0.006601,               0.006601,               0.006601
                    105,               0.035743,               0.029815,               0.023431,               0.028408,                0.41223,                0.35559,                  0.309,                0.18182,                0.41866,                0.35185,                0.30497,                0.18288,               0.052984,               0.027718,                0.01502,               0.049566,               0.006568,               0.006568,               0.006568
                    106,               0.035797,                0.02927,               0.022929,               0.028644,                0.39118,                0.37216,                0.30481,                0.18095,                0.38728,                0.36211,                0.30148,                0.17854,               0.052112,               0.027393,               0.014873,               0.048114,               0.006535,               0.006535,               0.006535
                    107,               0.035178,               0.029028,               0.022945,               0.028184,                0.36981,                0.38477,                0.31994,                0.19045,                0.38208,                0.37347,                0.32153,                0.19109,               0.052459,               0.027679,               0.014784,               0.046477,               0.006502,               0.006502,               0.006502
                    108,               0.035391,               0.028993,               0.022729,               0.026548,                0.42238,                0.38367,                0.33379,                0.20075,                 0.4221,                0.38277,                0.33302,                0.20418,               0.054512,                0.02794,               0.014751,               0.048429,               0.006469,               0.006469,               0.006469
                    109,                0.03521,               0.028095,               0.021778,               0.027591,                0.40672,                0.37269,                0.34072,                0.20348,                0.41029,                0.36899,                0.34202,                0.20583,               0.054519,               0.027704,               0.014563,                0.04884,               0.006436,               0.006436,               0.006436
