                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     45,               0.041862,               0.026478,               0.021252,               0.021823,                0.49814,                0.43072,                0.40209,                0.20856,                0.49469,                0.42771,                0.39733,                0.22256,               0.055158,               0.026992,               0.013772,               0.040902,               0.008548,               0.008548,               0.008548
                     46,               0.041993,               0.023266,               0.019541,               0.017877,                0.47865,                0.43278,                0.39253,                 0.2047,                0.48926,                0.41635,                0.38954,                0.22801,               0.056945,                0.02722,               0.013556,               0.041439,               0.008515,               0.008515,               0.008515
                     47,               0.040955,               0.024651,               0.020522,               0.020108,                0.48718,                 0.4486,                0.41154,                0.21982,                  0.497,                0.44875,                0.41353,                 0.2389,               0.055437,               0.026639,               0.013248,               0.040007,               0.008482,               0.008482,               0.008482
                     48,               0.039975,               0.024013,               0.020269,               0.019417,                0.43427,                0.39365,                0.35217,                0.19047,                0.43723,                0.39242,                0.35105,                0.20959,                  0.056,               0.027195,               0.013791,               0.042821,               0.008449,               0.008449,               0.008449
                     49,               0.040044,               0.024449,               0.020648,               0.018361,                0.47929,                  0.428,                0.39786,                0.22011,                0.48429,                0.41881,                0.39208,                 0.2341,               0.055272,               0.027005,               0.013716,               0.040077,               0.008416,               0.008416,               0.008416
                     50,               0.040836,               0.028223,               0.022128,               0.022205,                0.48929,                0.42933,                0.36828,                0.18426,                0.48931,                0.41598,                0.36159,                 0.2024,               0.055783,               0.027726,               0.013636,               0.041018,               0.008383,               0.008383,               0.008383
                     51,               0.040358,                0.02774,               0.021924,               0.023465,                 0.4108,                0.38125,                0.32978,                0.17317,                0.40945,                0.35979,                0.31644,                0.17127,               0.059038,               0.032973,               0.013989,               0.044394,                0.00835,                0.00835,                0.00835
                     52,               0.040413,               0.027331,               0.021673,               0.023282,                0.41986,                0.38433,                0.33917,                0.16827,                0.41739,                0.38447,                0.33903,                0.18326,               0.057141,               0.028936,                0.01392,                 0.0456,               0.008317,               0.008317,               0.008317
                     53,               0.040307,               0.027727,               0.022296,               0.024673,                0.41423,                0.39242,                0.32411,                0.16686,                0.42168,                0.38992,                0.32261,                0.18309,                0.05663,               0.027716,                0.01405,                0.04385,               0.008284,               0.008284,               0.008284
                     54,               0.040622,               0.027738,               0.021851,               0.022594,                0.39289,                0.33804,                0.27826,                0.13883,                0.40627,                0.31312,                0.26619,                 0.1396,               0.060468,                0.03338,                0.01527,               0.048829,               0.008251,               0.008251,               0.008251
                     55,               0.039872,               0.027234,               0.021529,               0.022854,                0.43901,                0.38364,                0.34045,                0.17633,                0.43434,                0.38177,                0.33944,                0.19272,               0.054843,               0.028358,               0.014222,               0.041401,               0.008218,               0.008218,               0.008218
                     56,               0.040085,               0.027493,               0.021764,               0.023336,                0.40119,                0.31873,                0.28222,                0.14031,                0.39403,                 0.3048,                0.27026,                0.14396,               0.060272,               0.035206,               0.015512,               0.045149,               0.008185,               0.008185,               0.008185
                     57,               0.040243,               0.026422,               0.021211,               0.022464,                0.37897,                0.29254,                0.25125,                 0.1283,                0.38384,                0.28876,                0.24716,                0.12851,               0.057904,               0.032909,               0.014825,               0.048158,               0.008152,               0.008152,               0.008152
                     58,                0.04062,               0.026644,               0.021191,               0.022064,                0.43747,                0.38081,                0.34035,                0.17582,                0.43269,                0.37334,                0.32791,                 0.1855,               0.056374,               0.031979,               0.014246,               0.042959,               0.008119,               0.008119,               0.008119
